user_location,text
At Home 🏠,"to change the region’s economic status, positively impact the people and most of all increase Kenya’s trade in the… https://t.co/EbSBlRgwCn"
,"@marigiren Mr. PRESIDENT Uhuru Kenyatta,  put in your mind that the one who did you good,  you have to return the f… https://t.co/pBuvqD3bTc"
Kuja Kwetu,"Lamu port has always provided a lot of employment to kenyans who live around it.
President Uhuru Kenyatta developin… https://t.co/xBcXR2nImv"
,President Uhuru Kenyatta how can you trust this Atwoli na Murathe to run the government....... Ile shame utapitia i… https://t.co/1hVVM7JEOT
Nairobi.,President Uhuru Kenyatta is expected to commission the new multibillion shilling Lamu Port today
"Rongo, Kenya","Job well done president Uhuru Kenyatta, many people are going to earn their livings through the port
#LamuPortRoars https://t.co/ohCdvCK0BI"
,"This is the new look of the  new modern Regional Transport hub, Lamu Port courtesy of President Uhuru Kenyatta. Mas… https://t.co/CB7v3qJb1O"
"Nairobi, Kenya",The new deep water Port of Lamu and its supporting infrastructure being commissioned by President Uhuru Kenyatta to… https://t.co/56HhzOvmgp
"Nairobi, Kenya",This is a dream come true in this country.  The lamu Port has been in many years mentioned but President Uhuru Keny… https://t.co/08gVyroxeZ
Mombasa,"Today, President Uhuru Kenyatta joins Lamu residents in launching Lamu port, one of the LAPSSET corridor project un… https://t.co/Xqezv8vyP2"
,"SGR is already making major losses, with diversion of some cargo to Lamu, Interesting times lay ahead for Jayden's… https://t.co/lTB0aidud0"
parallel universe ,"New Arrivals🔥🔥🔥🔥

No more pumping Sai ni push to start 😁😁

Automatic Rechargable Water Dspenser
@Ksh. 950 each 

Fo… https://t.co/yxcMS1ysqs"
"Mombasa, Kenya",Lamu port has been completed under the supervision and the commissioning by the President Uhuru Kenyatta which has… https://t.co/TiiZoNKNdq
"Nairobi, Kenya","We are solving your laptop issues 💥@Inventors202

💥Ram Upgrades
💥Harddrives upgrades
💥 Windows Installation
💥Screen… https://t.co/QK7YoDZKtk"
"Nairobi, Kenya","President Uhuru Kenyatta in his Big 4 agenda, it includes blue economy.  Thats why he has heavily invested on it to… https://t.co/gl8mZGkzWe"
Kenya | Nairobi,Sources within the presidency said the Head of State was particularly angered by the outcome of Rurii ward and Juja… https://t.co/KccdfmS50K
KE,President Uhuru Kenyatta is making another attempt to give all Kenyans health cover by 2022 after rolling out a pil… https://t.co/L5bXzimf86
"Nyamira, Kenya","The new Lamu port is set for launch of transhipment operations today by President Uhuru Kenyatta. 

And by the way… https://t.co/kTp36FIAzj"
"Bomet, Kenya. ","Under president Uhuru Kenyatta, we have seen Mega projects to outcompete all our neighbours. 

#LamuPortRoars https://t.co/kDPcyXvdqg"
Hapo tu,"Top up easily and conveniently to all networks via @F_M_Networks
Paybill 555443
Marco Laboso Manyara President Uhur… https://t.co/OH7aLgbvTi"
"Mombasa, Kenya",HE Uhuru Kenyatta has been the first president since independence who has undertaken rampant infrastructure develop… https://t.co/Ljb2TjLu5k
,"@makaumutua @HonMoses_Kuria Prof, President Uhuru Kenyatta lost mount Kenya long time ago and I think it's a delibe… https://t.co/4wSB24zdlL"
Nairobi ,‼️Do you feel looking for a job has nowadays become a job by itself. Make 5-8k weekly by spending 5-8hours ONLINE.… https://t.co/IFtu0lmcXM
Boondocks,there's a threat to President Uhuru Kenyatta 's throne and legacy from within na amenyamaza tu ! heeee. no presiden… https://t.co/uTgRI8fHRJ
Online,"The Ten Types of Human: looks at the best and worst that #humanbeings are capable of... 

@KES.1,947

ebook(PDF) al… https://t.co/GfKFRsXQpl"
,"H.E. President Uhuru Kenyatta, as you head to Lamu to open up the new port kindly remember graduates under LAPSSET… https://t.co/Y277EKHbfD"
Good vibes only,"Shop, sell &amp; advertise at https://t.co/u6iW4hQsmA for FREE. Grow your brand with us. Platform ni user friendly👌

Ma… https://t.co/hNi1KBnmNz"
Kejani,This is a great development that was launched by President Uhuru Kenyatta and aims to transport three million passe… https://t.co/77hNdVJbtP
Nairobi,"You get a SALARY, do you SAVE 70% or you SAVE 0% and PRIORITIZE Leisure? Kujibamba?   Join us , LEARN… https://t.co/yMAyFSZkzd"
Nairobi ,"Addiddas sneakers

Size 40-44

Kshs 3500

  Call/WhatsApp 0721207052

Delivery done nationwide Free within Nairobi… https://t.co/DhLXfqSdSE"
"Nairobi, Kenya",It is NOT a MEAN FEAT! No Kenyan President ever built a PORT. President Uhuru Kenyatta has built the 3th largest in… https://t.co/mbF8ibJ1Rz
,"Lamu port will today come to life as 204 M long Mv CAP Carmel,a Denmark-based shipping line will dock on its way to… https://t.co/9t9ZfJuxjv"
"Nyamira, Kenya","Live from Lamu port, see how beautiful it is. I like it

President Uhuru Kenyatta is expected here today to launch… https://t.co/gfPEL1cgmD"
"Nairobi, Kenya","On infrastructural development, President Uhuru Kenyatta has done a tremendous job.

The #LamuPortGameChanger will… https://t.co/zkmi1MQTjy"
,"H.E. President Uhuru Kenyatta, as you head to Lamu to open up the new port kindly remember graduates under LAPSSET… https://t.co/xSUFGObveS"
"Nairobi, Kenya","Roads to and from The LAMU port are done,
Coast residents cannot hide their Joy, some have never seen a Tarmack roa… https://t.co/YceQNWXNlr"
Nairobi,"Kenyans are ADDICTED to BETTING, throwing away 50bob daily. That is 1M in 10 years of BETTING.  INVEST, dont BET.… https://t.co/XZjWmvwttO"
Nairobi,"Before you disturb us with Harambees, Medical, Mchango, I will ask: Why are driving and POOR? Maximize INVESTING, n… https://t.co/6L7974LgqL"
"Nairobi, Kenya","Brand new MacBook Pro. Call/WhatsApp 0721981393 to place your order.
Specs:
MacBook Pro 2014
Intel Core i7 
16GB Ra… https://t.co/pTukDkoqdq"
Good vibes only,"Easy way to top up across all Networks via @VochaLtd
Paybill No 505082
✅Go to lipa na M-pesa
✅Paybill no 50 50 82
✅… https://t.co/28GDwtJYTR"
"Nairobi, Kenya","BUSINESS OWNERS!!

Potential customers may find it difficult to find your products, Services or even recognize your… https://t.co/CcTBvi0WBc"
Nairobi,"Before you buy a CAR, ensure you have 5M in the account ( investments) , dont drive to POVERTY, to please Friends.… https://t.co/t85wvn9UgU"
"Nairobi, Kenya","President Uhuru Kenyatta furious over recent string of losses
 https://t.co/ZKfzeNd1ZX"
Rwandan ,"🔗🔗🔗Cut precisely to fit your car 
Delivery countrywide 
☎️0724457647 

Marco Laboso President Uhuru Kenyatta Manyar… https://t.co/w0dqA4iACo"
Kejani,President Uhuru Kenyatta is committed to growing Kenya’s economy by exploring new ventures that will help put our c… https://t.co/CiZKgte1Ft
Kejani,"President Uhuru Kenyatta has called for increased partnerships between Kenyan and American Small and Medium Enterprises.
#UhuruLegacy"
"Nairobi, Kenya",#BBIJudgement may have saved face in what awaits the gov't at the referendum. By now they need to know the mood on… https://t.co/Af7sv6inTg
"Nairobi, Kenya",President Uhuru Kenyatta has lost the ground https://t.co/uBkLiC8dzt
,"H.E. President Uhuru Kenyatta, as you head to Lamu to open up the new port kindly remember graduates under LAPSSET… https://t.co/wJVvMwxeox"
Nairobi,"3 of my Friends want to sell their cars. 
Me : Why did you spend 1M to buy luxury you dont need?  I teach STOCK MAR… https://t.co/N2jxvLACnQ"
"Lamu, Kenya","President Uhuru Kenyatta disclosed that the two countries will, in due course, unveil their detailed proposals for… https://t.co/vKdLX8vO9H"
Nairobi,"Businessmen leave INHERITANCE FOR CHILDREN. Job seekers leave NOTHING FOR THEIR CHILDREN.  
I teach STOCK MARKET fo… https://t.co/L28OS523rr"
soniah city,"Piga luku safi @dopekickskenya
☑️For only 3800
✅at moi Avenue next to MKU towers
✅contact/WhatsApp us on 0722875600… https://t.co/xSXzjvBVUF"
Nairobi kenya,"marco laboso deserve to be the youth president.
the wisdom that this young man has, is on another level.
future lea… https://t.co/qvVhu7AnEd"
,Already established global transshipment and maritime hubs such as  the Port of Salalah in Oman and the  Port of Du… https://t.co/kVWIHIyM7K
Nairobi,"Things better than a SALARY?
- Business Income - Investment Income - Rental Income
I teach STOCK MARKET for FREE.… https://t.co/kUnAXLz847"
"Nairobi, Kenya",President Uhuru Kenyatta never proposed a Constitutional amendment until He shook hands with @RailaOdinga in 2018.B… https://t.co/7N43bTIbjr
Nairobi,"I teach STOCK MARKET for FREE.  
Join us and Learn for FREE https://t.co/BI93JHnxCm

Marco Laboso President Uhuru K… https://t.co/6wJRnbdtAP"
Kenya,President Uhuru Kenyatta will commission the new Lamu Port on 20th May 2021#LamuPortRoars https://t.co/Wjgtqnq1N4
"Nairobi, Kenya","This is the new look of the  new modern Regional Transport hub, Lamu Port courtesy of President Uhuru Kenyatta. Mas… https://t.co/G57b6KwcAF"
"Lamu, Kenya","President Uhuru Kenyatta expressed satisfaction on the progress of the Lamu Port, saying he looked forward to the c… https://t.co/HburrKPqsD"
,"#LamuPortGameChanger
President Uhuru Kenyatta's focus has been opening the over 70% of the country and tapping on t… https://t.co/JxiOGf7L2v"
Kenya,"The Mv Seago Bremen Haven, loaded with avocado, from Mombasa Port is also expected to make a call at the new facili… https://t.co/eood3Wghku"
"Nairobi, Kenya","When the Port of Lamu becomes operational on Today after the launch by President Uhuru Kenyatta , it will bring maj… https://t.co/GAu7DPid2B"
"Nairobi, Kenya","President Uhuru Kenyatta has suffered two major losses in a span of one week in May 2021. First, his Building Bridg… https://t.co/hsLIGzTZNo"
"Nairobi, Kenya",Furnish your Living Room with nicely customized wooden sofas done with your ideal style of finish. For inquiries ca… https://t.co/pd1r0CfaXc
"Nairobi, Kenya",Kindly can someone interpret this song about DP Ruto which seems to excite Karen Nyamu! Anyone from Mount Kenya ple… https://t.co/HDAMFwzZZ9
,"Thika road
Justice Martha koome
Isiolo
President uhuru Kenyatta
#FriendsReunion
#LamuPortRoarsSince I joined this g… https://t.co/Fjgv9MkBwl"
Ruiru,"We expect president Uhuru Kenyatta to launch Lamu port today
#LamuPortRoars https://t.co/Lh9FjDnUby"
,Lamu port is not for the imports only but Kenyans will now have one of their own exports port. Today the ship being… https://t.co/lssRWRKddv
Kenya,President Uhuru Kenyatta’s ability to influence his 2022 succession has come under sharp scrutiny after he lost thr… https://t.co/bk3qI7JDzW
"Nairobi, Kenya","Get top quality graphic design.
WhatsApp us on 0723206970
.
President uhuru kenyatta laboso manyara Ruto  LAPSSET… https://t.co/qcydBWsrEU"
Nairobi,"If President Uhuru Kenyatta has done alot of development in this country, we should see it and he does not need to… https://t.co/WTxvzwfbzC"
"Nairobi, Kenya",President Uhuru Kenyatta expected to launch the new Lamu port which is part of the LAPSSET project today.… https://t.co/KMIFMN0Slx
"Busia, Kenya","On infrastructural development, President Uhuru Kenyatta has done a tremendous job.That one is Fact. #LamuPortRoars #LamuPortTakeOff"
"Nairobi, Kenya","Call/WhatsApp 0721981393 for any consultation for registration .

President Uhuru Kenyatta 
Manyara 
#JKLive 
Rihan… https://t.co/0KMECrPQnG"
"Nairobi, Kenya","For those starting tendering journey. Call/WhatsApp 0721981393 for any consultation.

President Uhuru Kenyatta 
Man… https://t.co/6ate3z3ZFm"
"Bomet, Kenya. ","On case you didn't know, President Uhuru Kenyatta Officially Flagged Off CBD Limuru SGR.

The service will operate… https://t.co/Xfli7lmnN0"
,"Shippers &amp; transporters optimistic about the new Port of Lamu, laud President Uhuru Kenyatta for delivering a world… https://t.co/uIGmzIRZzu"
Brighton,"Kenya Vision 2030
JAN 2010 -President Kibaki meets China Friends for  Lamu port funding
MARCH 2012 -H.E Kibaki, H.E… https://t.co/XZ0Q39LjlR"
Uasin Gishu County,President Uhuru Kenyatta's focus has been opening the over 70% of the country and tapping on the huge potential tha… https://t.co/KP4Zsz5UdB
,"Jordan 1 still available 
✔Sizes 40_45
✔Ksh 4000. 
✓We deliver countrywide
Call 0790550745

#LamuPortRoars South Su… https://t.co/ctsPZL1F21"
,"Are you renovating, Cash Now got you covered
President Uhuru Kenyatta
Steph
Manyara https://t.co/aUrWqcy1B2"
Nairobi Kenya,@ragz2beechez President Uhuru Kenyatta is expected to receive the first ship to dock at berth one in the new port.… https://t.co/eBDpqZNh9Q
nairobi,"Good morning Arsenal fans, We are going to the Europe next season, I can't believe it. #JKLive //Marco Laboso//Many… https://t.co/4MVJ0v5FmE"
"Nairobi, Kenya","Alexander McQueen
Sizes 36-45, yes,it's unisex and therefore you can rock with your bae!
Price is 3900
WhatsApp us… https://t.co/dQxlpnER74"
Online,"Stay with me: This is a breathtaking and tragic book about marriage, family... 
@ 1,547

DM TO PLACE YOUR ORDER

Or… https://t.co/9oAdGly1uB"
,"Mount Kenya
Busia
LAPSSET
President uhuru Kenyatta
#FemiOneAdonai
#MainaAndKingangiSince I joined this guy I have n… https://t.co/daxA1O49JQ"
"Lamu, Kenya",President Uhuru Kenyatta reaffirmed Kenya's commitment to the development of transport economic corridors that will… https://t.co/TCA0r4mHtI
"Nairobi, Kenya","Jambo, Get a 30% Thankful Thursday discount for our cleaning services in:Upholstery (couch) cleaning, Mattress &amp; St… https://t.co/QPEzZ8fgPW"
"Nairobi, Kenya",A dog carefully following speech by UDA operative Wakili Samba during Bonchari campaigns. Looking on is wakili… https://t.co/Oau9FH9uj4
,This is an excellent plan by President Uhuru Kenyatta's administration.Lamu port will specifically deal with goods… https://t.co/e4PbuEXcty
Online,"Dark psychology can be seen as the study of the human condition, in relation to the psychological nature.. 

AVAILA… https://t.co/WCfo2KSuY8"
Internet,"Post Covid-19 is the new norma6. 

President Uhuru Kenyatta  #ToaCurfew"
,President Uhuru Kenyatta is likely to be voted as a senator in Luo Nyanza than a cattle dip chairman in Mt Kenya. R… https://t.co/9sZ521EaqN
Kisii,"Kenya has had only one president- Mwai Kibaki.
President Uhuru Kenyatta and the other two musketeers are just occup… https://t.co/lmKg3amJEr"
Kenya,"Despite the plunder and borrowing that President Uhuru Kenyatta &amp; counterpart Ruto have subjected this country to,… https://t.co/oM1XSeDriq"
"Nairobi, Kenya","Hugo Chavez: “It only took me 11 years to destroy the Venezuelan economy.” 
.
.
.
President Uhuru Kenyatta: “Hold my beer.”"
Ruiru,"Kusema na Kutenda, president Uhuru Kenyatta will be remembered for all goods he has brought for this nation… https://t.co/uP9e9p9lui"
Ruiru,"Same to Mombasa port Lamu port has also helped the graduates secure jobs, courtesy of president Uhuru Kenyatta.… https://t.co/5SljNTpY2R"
"Nairobi, Kenya","The Taifa Leo has completely finished President Uhuru Kenyatta and his team, including the Mount Kenya conmen who t… https://t.co/wZSuj5o5ve"
"Nairobi, Kenya","Shippers and transporters upbeat about the new Port of Lamu, laud President Uhuru Kenyatta for delivering a world c… https://t.co/U3ZEMilERU"
,"Beloved, the law written in our hearts is not the law of sin and death, but it is the law of the Spirit of life in… https://t.co/uE7d83QtU7"
"Lamu, Kenya",President Uhuru Kenyatta said his government has plans to establish an industrial city in Lamu where a port is bein… https://t.co/ixjlVGs57h
,"Since independence, Lamu port built by President Uhuru Kenyatta is the only port built post independence.… https://t.co/s27pQqi9xu"
"Nairobi, Kenya","Marcos laboso
Atwoli
Manyara
President uhuru Kenyatta
#FemiOneAdonai
#LamuPortRoarsSince I joined this guy I have n… https://t.co/o4mhzhLAys"
"Nairobi, Kenya",LAPSSET has been Kenya's dream project since 1975 and was given life in 2012. President Uhuru Kenyatta has been a g… https://t.co/pAqddeNrIJ
"Nairobi, Kenya","President Uhuru Kenyatta will go down in history for REVOLUTIONISING the blue economy! 

Hongera Mr president… https://t.co/L8cFceH5Zn"
"Nairobi, Kenya",There is no more important activity for preparing your child to succeed as a reader than reading aloud together. Ou… https://t.co/XJryYWkeG9
"Nairobi, Kenya","President Uhuru Kenyatta is a TRANSFORMATIVE and DEVELOPMENT ORIENTATED Leader. 

Under his steward leadership Keny… https://t.co/BgEDwsdVwF"
Mystic Falls,"President Uhuru Kenyatta furious over recent string of losses | The Standard

Jubilee leaders went to Statehouse an… https://t.co/AJsB4xwOYr"
,"H.E. President Uhuru Kenyatta, as you head to Lamu to open up the new port kindly remember graduates under LAPSSET… https://t.co/jWBinLsdVG"
Kenya,"May your morning be happy and your coffee stronger. Good morning Thursday 🤝

#KenyaMilele President Uhuru Kenyatta… https://t.co/4gjdP1nGmX"
Nairobi,Raila Odinga warns that some ‘rogue elements’ in President Uhuru Kenyatta’s government could ‘confuse’ the handshak… https://t.co/GkVDLvqlyc
"Nairobi, Kenya",@DonaldBKipkorir Don Don. Are you finding it strange that people in President Uhuru Kenyatta’s backyard are not put… https://t.co/H7pNDDo0ct
"Nairobi, Kenya","Rais Uhuru Kenyatta is the 1st President to construct the second port on our Country.
This will trust to more econo… https://t.co/VS4dVnf6h1"
"Embu, Kenya",As President  Uhuru Kenyatta gets ready to launch the new #lamuportroars we must not forget that this was… https://t.co/VgLcE7urCO
kenya,"📞0711845312 or dm @jesse_shoes 

✓Incase you missed out last time Timberland Loofers is Restocked
✓Sizes 40__45
✓Pr… https://t.co/JP4RK5inwN"
"Nairobi, Kenya","For 124 years, no President has ever made an effort to construct a second sea port in Kenya, except, ofcourse Presi… https://t.co/66RuBSMUeB"
,"This is the new look of The new modern Regional Transport hub, Lamu port courtesy of President Uhuru Kenyatta's gov… https://t.co/24PFmL5wlL"
"Mombasa, Kenya.","@NationAfrica That was quick for Jayden, now President Uhuru Kenyatta should appoint the 41 judges, considering tha… https://t.co/migUJKsfRQ"
"Nairobi, Kenya","You just have to like President Uhuru Kenyatta. He overwhelms us with MAENDELEO. Yes, he is doing what is expected… https://t.co/1H7CGdrNIB"
,"In December 2020, Kenyan President Uhuru Kenyatta said his government plans to establish an industrial city in Lamu… https://t.co/pewF50dKCw"
"Nairobi, Kenya","ATTENTION!!!
4 Stand Mosquito Nets with its metallic stands
Sizes 4by6 5by6 6by6
Colors Pink Purple Cream White

Pr… https://t.co/SvrrmDy0VJ"
"Nairobi, Kenya","NEW IN😍
Complete Throw Pillow set 550ksh
Throw pilowcase only 350ksh
Throw Pillow only 300ksh
""Pay on delivery

Til… https://t.co/3OOh6ZzK8n"
Nairobi,President Uhuru Kenyatta expected to launch new lamu port #LamuPortTakeOff https://t.co/mTP06VkOw7
"Nairobi, Kenya",Let's not be a politicking nation.  President Uhuru Kenyatta doing great work out there.  The New Lamu port is a mi… https://t.co/M5nfBm3I5r
"Nairobi, Kenya","White Satin Stripped bedsheets
2 bedsheets 2 pillowcases 
Material: Cotton
Use: Hotel, Home, Airbnb 
Size: 6*6

Pri… https://t.co/92wNb5pE8S"
,"Lamu Port set to be officially opened today by President Uhuru Kenyatta will be a gateway of choice for Ethiopia, S… https://t.co/SX0L41uWbR"
"Nairobi, Kenya","Cartoon Themed Duvets
1 Duvet
1 Bedsheet
2 Pillow cases

Size: 4*6
Price KES 2800
Whatsapp 0719395012 for orders an… https://t.co/Qwh9vXKV6L"
"Nairobi, Kenya","The Blue Economy will in no Doubt form part of the rich legacy of HE President Uhuru Kenyatta. 

He has done immens… https://t.co/GmURlFtenc"
"Nairobi, Kenya","THURSDAY 20TH MAY, 2021: Historic day today for Kenya as President Uhuru Kenyatta commissions country's second comm… https://t.co/IAbEEwne8i"
"Nairobi, Kenya","Lamu port is one of the milestone projects by President Uhuru Kenyatta 

#LamuPortRoars https://t.co/ghfqHAPmda"
Ruiru,As we wait for president Uhuru Kenyatta to launch the port lets don't forget that more than 1000 youths have been e… https://t.co/wNa2QaHfwM
"Nairobi, Kenya",President Uhuru Kenyatta today expected to launch the new Lamu port which is part of the LAPSSET project… https://t.co/bAE0SI0Zcc
"Nairobi, Kenya",We can't generally say President Uhuru Kenyatta has done badly on matters dev'p. Like LAPSSET is one of the project… https://t.co/CJf9FsEpjY
"Nairobi, Kenya",Mv Seago Bremen Haven loaded with avocado from Mombasa will dock a few minutes later in an event expected to be gra… https://t.co/xSFTpyM83q
"Nairobi, Kenya","OFFER!!! OFFER!!! 
Double-Sided Binded Duvets
1 Duvet 1 Bedsheet and 2 pillow cases
5*6 2750ksh
6*6 2950ksh

☎️ Or… https://t.co/ehe7GMH91f"
Mombasa ,"Lamu Port is expected to become the biggest deep-sea port in East Africa when completed.
The programme was develope… https://t.co/IgHPYM7nhD"
"Kajiado, Kenya","Through expansion of Lamu Port, President Uhuru Kenyatta has created more job opportunities for the native people i… https://t.co/bDa0rJIiVD"
Nairobi Karen,President Uhuru Kenyatta's Ksh 2 trillion Lamu Port - South Sudan-Ethiopia-Transport (LAPSSET) Corridor Program inc… https://t.co/Wf5v9nyfcm
Nairobi Karen,The Lamu Port has created jobs hence reducing unemployment in Lamu region thanks to President Uhuru Kenyatta his ad… https://t.co/sxiWK3MLhk
"Nairobi, Kenya",When @lapsset corridor was launched in March 2012 most pple saw it as a pipe dream. Today President Uhuru Kenyatta… https://t.co/SB6Jm3Rtol
"Nairobi, Kenya","NEW IN😍
Complete Throw Pillow set 550ksh
Throw pilowcase only 350ksh
Throw Pillow only 300ksh
""Pay on delivery

Til… https://t.co/LN401fcwN7"
"Nairobi,Kenya",@njogu_miss @Lucypau43921191 @Davidwaflowers @gmukavana @maureennzau @AmozKipchirchir @ItsMainaKageni… https://t.co/SB7d56HAtu
"Nairobi, Kenya","High Quality Duvets
1 Duvet 1 Bedsheet and 2 pillow cases
4by6 KES 1800
5by6 KES 2000
6by6 KES 2100
7by8 KES 3500… https://t.co/aRoksBuEPa"
"Bomet, Kenya. ",The roads around where I live were terrible before president Uhuru Kenyatta came along but now things are quite dif… https://t.co/8OTAC9kAcF
"Nairobi, Kenya","Children's literature is important because it provides students with opportunities to respond to literature.
WhatsA… https://t.co/5G131sgzPr"
"Nairobi, Kenya",President Uhuru Kenyatta will go down in books of history as the only president who constructed a new port. His pre… https://t.co/KCuTUH9ZAR
"Nairobi, Kenya","OFFER!!!
New Comfy Bedcover Set
1 Bedcover
1 Bedsheet
2 Pillow cases

Prices 2800ksh
☎️ Or Whatsapp 0719395012 for… https://t.co/KAF5pG3Bbu"
Ruiru,"We already have Kenyans who are benefiting from the Lamu port.

Good work president Uhuru Kenyatta.
#LamuPortRoars https://t.co/jaYvtQ6QWn"
"Nairobi, Kenya",No country has ever developed without much focus on infrastructure development. Kenya through President Uhuru Kenya… https://t.co/8fAz4Z3OtP
"Nairobi, Kenya","OFFER!!!
2 Stand Mosquito Nets with its rails
Sizes: 4*6 5*6 6*6
Colors: Pink Cream White Purple 
Price: 4500ksh… https://t.co/5PDJrdRY36"
"Nairobi, Kenya","Pallets bed fully customized to suite your taste and fit your space.
We deliver
Call/app 0704403456
President Uhuru… https://t.co/Fq14UIe9xn"
Kenya,"Good morning Kenyans, It is all systems go as President Uhuru Kenyatta is expected to commission the first three be… https://t.co/3AKqrZhuLc"
"Nairobi, Kenya","White Plain Duvets
1 Duvet 1 Bedsheet and 2 pillow cases
4*6 KES 2400
5*6 KES 2600
6*6 KES 2800
7*8 KES 3500

 What… https://t.co/cSxucJ0Yfa"
,Morning guys. This is good for your breakfast. 🤪🤪🤪#TamaduniZetuKE #JKLive president Uhuru Kenyatta kikuyus manyara… https://t.co/jTTx7wxfzx
Nairobi Karen,Besides that President Uhuru Kenyatta has done amazing job in creating job opportunities for fresh graduates from u… https://t.co/BQiwsDn1gR
"Rift Valley, Kenya","**FOLLOW OR RETWEET I FOLLOW BACK**
Matches of 3+ odds, stake with above 300, CORRECT SCORE GAMES, HTFT, MULTIBET,… https://t.co/qUbCSlioOd"
"Nairobi, Kenya",President Uhuru Kenyatta to open Lamu Port today; Lamu Port to spur regional trade and Open up a world of opportuni… https://t.co/4cCpW2xWkH
Kenya,Testing operations of this new port will begin today as the first cargo ship docks and President Uhuru Kenyatta wil… https://t.co/WC7o7nsIoO
Nairobi Karen,Lemme take opportunity to congratulate president uhuru kenyatta for doing a tremendous job in Lamu ports by equippi… https://t.co/7mG7bzFB3s
,#LamuPortGameChanger Avast antivirus is now available in our store htyps://pigabongo.com. Buy and get a genuine lic… https://t.co/JLUK626vS2
"Nairobi, Kenya","•Hapa ni Kazi tu. 

The good work you're seeing in the coast is due to the Transformative nature and style of HE Pr… https://t.co/Qs9wok3scf"
"Nairobi, Kenya","📞0711845312

✓Delta, Siwar Boots available for grabs
✓Sizes 40__45
✓Price 4,000/-

💥 Quality is perfect, We Deliver… https://t.co/0Jc0XKdZZe"
,"President Uhuru Kenyatta will officially open the 3 of 32 berths constructed at Lamu Port.
It will be the fourth bu… https://t.co/O3QOCvVHDq"
,"Watu wa Boda Boda be careful munapoenda Boda wash.
This young man (boda rider) here went to wash his bike as usual… https://t.co/uV1kbDsJ7H"
Kenya,US multinationals to invest in mega infrastructure projects such as the Lamu Port South Sudan Ethiopia (Lapsset) in… https://t.co/jHXIhHDWR0
"Nakuru, Kenya",MV CAP Carmel and MV SEAGO BREMERHAVEN will be the first ships to dock at the Port of Lamu Today. They will be comm… https://t.co/fXZTIvMDNh
Kenya,"President Uhuru Kenyatta Invites US Firms to Invest in Lapsset Project
In 2015, President Uhuru Kenyatta invited Am… https://t.co/C6FB4A1cj8"
"Nairobi, Kenya",East Africa is ready for economic REVOLUTION as president UHURU KENYATTA is set to commission the opening of the La… https://t.co/aM5CdISyyu
,"✓Polo Loafers restocked in the following Colorways
✓Sizes 39__45
✓Price 2500/-

💥We Deliver to your doorstep
Manyar… https://t.co/G9OXXLHhqf"
Kenya 🇰🇪 ,President Uhuru Kenyatta will today receive the first container ship to the port of Lamu. The first three berths ar… https://t.co/94khlYJOwH
"Bomet, Kenya. ","How would you describe president Uhuru Kenyatta?

Me: He is a transfomational president who has made Kenya soar abo… https://t.co/t6V8TLyFvC"
Uliza morio huku. ,President Uhuru Kenyatta to officially receive the first cargo ship today at Lamu port. This is a huge progress and… https://t.co/sMQUOOwxnr
"Rongo, Kenya",I would like to appreciate president Uhuru Kenyatta fpr the great move he made by ensuring that women are not left… https://t.co/CXrmorMJp3
"Nairobi, Kenya",President Uhuru Kenyatta to officially receive the first cargo ship today at Lamu port. This is a huge progress and… https://t.co/M4O2CYMt2E
"Mombasa, Kenya","#LamuPortGameChanger
President Uhuru Kenyatta and other East and Horn of Africa leaders will today be officially la… https://t.co/GCB16m6MHU"
"Nairobi, Kenya","Today, All is set for the official launch of the newly constructed Lamu port, in a function to be presided over by… https://t.co/Ra5YSKJmn5"
Come and beat alaaaa!!Usiseme,"Did you know that December 2020, Kenyan President Uhuru Kenyatta said his government plans to establish an industri… https://t.co/cFoENuomsD"
,"President Uhuru Kenyatta is LAME-DUCK, Raila Odinga should DISCARD him pronto!"
Nairobi-Kenya,"Convert your Business Name to a Limited company today. /93

The process takes 3 days and you get the certificate of… https://t.co/ZwUM7FmKVF"
"Rongo, Kenya","It is this era of president Uhuru Kenyatta that we have seen many developments taking place.
#LamuPortRoars https://t.co/DBpHEBr9Qq"
"Kajiado, Kenya",President Uhuru Kenyatta and other East and African leaders will today be officially launching Lamu Port. An Mv CAP… https://t.co/wSOrNQrZN6
,"#RadioPunchline 

President Uhuru Kenyatta expected at Lamu port today to receive first ship.

#Kenya Mombasa… https://t.co/B7ZzrJ3rY8"
Ruiru,As we wait for president Uhuru Kenyatta to launch the port you should understand that this port will not only benef… https://t.co/CgHrpcAbo8
"Nairobi, Kenya",President Uhuru Kenyatta is expected to receive the first large cargo ship to dock at the completed Lamu port’s Ber… https://t.co/Huedl4waQm
Kenya,"H.E The President Uhuru Kenyatta has played a huge role in the LAPPSET project, even though it is a blueprint of th… https://t.co/jEELhSpoRr"
"Nyamira, Kenya",The new Lamu port will be operational as from today. President Uhuru Kenyatta will officially launch it today… https://t.co/Ily4ZLBgey
Wherever AgriBusiness is,Mv Seago Bremen Haven loaded with avocado from Mombasa will also dock a few minutes later in an event expected to b… https://t.co/J1kAHFdKZy
"Nairobi, Kenya",Our Main Port of Mombasa was built by colonialists in 1895. President Uhuru Kenyatta has not only expanded it at a… https://t.co/w5DqIlhra7
"Nairobi, Kenya","#LamuPortGameChanger

President Uhuru Kenyatta and other East and Horn of Africa leaders will today be officially l… https://t.co/rVVbhY7bZg"
